PassengerId,Survived
892,570.0
893,133.0
894,571.0
895,822.0
896,66.0
897,221.0
898,650.0
899,581.0
900,787.0
901,566.0
902,445.0
903,708.0
904,394.0
905,250.0
906,557.0
907,317.0
908,22.0
909,554.0
910,217.0
911,277.0
912,514.0
913,752.0
914,299.0
915,98.0
916,300.0
917,339.0
918,357.0
919,554.0
920,210.0
921,302.0
922,250.0
923,656.0
924,329.0
925,613.0
926,691.0
927,763.0
928,360.0
929,555.0
930,208.0
931,644.0
932,401.0
933,299.0
934,401.0
935,748.0
936,578.0
937,208.0
938,188.0
939,829.0
940,12.0
941,256.0
942,371.0
943,674.0
944,601.0
945,342.0
946,548.0
947,788.0
948,580.0
949,76.0
950,640.0
951,326.0
952,221.0
953,674.0
954,205.0
955,142.0
956,312.0
957,597.0
958,45.0
959,463.0
960,633.0
961,439.0
962,650.0
963,392.0
964,217.0
965,431.0
966,270.0
967,633.0
968,445.0
969,572.0
970,674.0
971,650.0
972,349.0
973,276.0
974,461.0
975,829.0
976,548.0
977,365.0
978,217.0
979,205.0
980,301.0
981,341.0
982,143.0
983,693.0
984,609.0
985,498.0
986,890.0
987,147.0
988,276.0
989,456.0
990,45.0
991,430.0
992,578.0
993,544.0
994,197.0
995,147.0
996,856.0
997,822.0
998,392.0
999,829.0
1000,445.0
1001,227.0
1002,289.0
1003,728.0
1004,843.0
1005,787.0
1006,276.0
1007,665.0
1008,37.0
1009,173.0
1010,573.0
1011,134.0
1012,390.0
1013,66.0
1014,4.0
1015,147.0
1016,829.0
1017,856.0
1018,554.0
1019,331.0
1020,289.0
1021,128.0
1022,430.0
1023,450.0
1024,534.0
1025,372.0
1026,415.0
1027,128.0
1028,554.0
1029,674.0
1030,555.0
1031,14.0
1032,481.0
1033,760.0
1034,439.0
1035,674.0
1036,188.0
1037,86.0
1038,299.0
1039,554.0
1040,56.0
1041,638.0
1042,357.0
1043,829.0
1044,95.0
1045,9.0
1046,262.0
1047,128.0
1048,731.0
1049,555.0
1050,188.0
1051,9.0
1052,360.0
1053,490.0
1054,346.0
1055,37.0
1056,289.0
1057,329.0
1058,461.0
1059,437.0
1060,257.0
1061,555.0
1062,829.0
1063,805.0
1064,268.0
1065,37.0
1066,14.0
1067,238.0
1068,428.0
1069,600.0
1070,859.0
1071,880.0
1072,674.0
1073,249.0
1074,782.0
1075,215.0
1076,378.0
1077,289.0
1078,652.0
1079,334.0
1080,793.0
1081,289.0
1082,544.0
1083,56.0
1084,490.0
1085,571.0
1086,238.0
1087,570.0
1088,446.0
1089,787.0
1090,227.0
1091,29.0
1092,359.0
1093,79.0
1094,646.0
1095,751.0
1096,227.0
1097,56.0
1098,48.0
1099,227.0
1100,760.0
1101,795.0
1102,430.0
1103,37.0
1104,386.0
1105,367.0
1106,69.0
1107,210.0
1108,83.0
1109,588.0
1110,857.0
1111,829.0
1112,867.0
1113,392.0
1114,57.0
1115,392.0
1116,797.0
1117,256.0
1118,392.0
1119,33.0
1120,401.0
1121,22.0
1122,24.0
1123,628.0
1124,372.0
1125,829.0
1126,646.0
1127,763.0
1128,276.0
1129,763.0
1130,418.0
1131,557.0
1132,12.0
1133,441.0
1134,857.0
1135,301.0
1136,534.0
1137,622.0
1138,474.0
1139,315.0
1140,134.0
1141,613.0
1142,79.0
1143,284.0
1144,485.0
1145,208.0
1146,430.0
1147,779.0
1148,829.0
1149,147.0
1150,428.0
1151,392.0
1152,560.0
1153,392.0
1154,507.0
1155,173.0
1156,674.0
1157,445.0
1158,278.0
1159,829.0
1160,654.0
1161,221.0
1162,790.0
1163,301.0
1164,394.0
1165,187.0
1166,20.0
1167,547.0
1168,227.0
1169,544.0
1170,544.0
1171,227.0
1172,555.0
1173,756.0
1174,301.0
1175,853.0
1176,531.0
1177,570.0
1178,426.0
1179,485.0
1180,829.0
1181,445.0
1182,508.0
1183,805.0
1184,37.0
1185,263.0
1186,401.0
1187,208.0
1188,44.0
1189,302.0
1190,24.0
1191,456.0
1192,570.0
1193,548.0
1194,273.0
1195,208.0
1196,301.0
1197,276.0
1198,391.0
1199,804.0
1200,588.0
1201,133.0
1202,205.0
1203,554.0
1204,791.0
1205,728.0
1206,196.0
1207,157.0
1208,454.0
1209,227.0
1210,147.0
1211,121.0
1212,147.0
1213,128.0
1214,674.0
1215,448.0
1216,717.0
1217,128.0
1218,619.0
1219,790.0
1220,544.0
1221,227.0
1222,755.0
1223,210.0
1224,37.0
1225,623.0
1226,147.0
1227,431.0
1228,674.0
1229,154.0
1230,346.0
1231,37.0
1232,227.0
1233,570.0
1234,679.0
1235,269.0
1236,710.0
1237,157.0
1238,674.0
1239,359.0
1240,346.0
1241,748.0
1242,524.0
1243,227.0
1244,386.0
1245,755.0
1246,645.0
1247,858.0
1248,572.0
1249,336.0
1250,791.0
1251,19.0
1252,684.0
1253,581.0
1254,748.0
1255,822.0
1256,371.0
1257,26.0
1258,769.0
1259,555.0
1260,524.0
1261,674.0
1262,862.0
1263,538.0
1264,264.0
1265,289.0
1266,821.0
1267,381.0
1268,39.0
1269,227.0
1270,648.0
1271,234.0
1272,215.0
1273,208.0
1274,301.0
1275,193.0
1276,508.0
1277,616.0
1278,128.0
1279,571.0
1280,392.0
1281,449.0
1282,682.0
1283,880.0
1284,166.0
1285,289.0
1286,86.0
1287,782.0
1288,128.0
1289,872.0
1290,554.0
1291,745.0
1292,538.0
1293,519.0
1294,357.0
1295,888.0
1296,622.0
1297,227.0
1298,227.0
1299,661.0
1300,368.0
1301,349.0
1302,83.0
1303,487.0
1304,217.0
1305,37.0
1306,62.0
1307,401.0
1308,359.0
1309,66.0
